Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,62678108,9.78006E+12,0,4.14,532,2017,2017,,5/19/20,to-read,to-read (#228),to-read
Country,Michael     Hughes,"Hughes, Michael",,62940325,9.78006E+12,0,3.89,320,2019,2018,,5/19/20,to-read,to-read (#227),to-read
Gods of Jade and Shadow,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,,,0,3.88,338,2019,2019,,5/19/20,to-read,to-read (#226),to-read
The Outsider (Holly Gibney #1),Stephen  King,"King, Stephen",,1501180983,9.7815E+12,0,4.01,561,2018,2018,,5/5/20,to-read,to-read (#225),to-read
Under the Frog,Tibor Fischer,"Fischer, Tibor",,312278713,9.78031E+12,0,3.96,256,2001,1993,,4/2/20,to-read,to-read (#224),to-read
The Invention of Wings,Sue Monk Kidd,"Kidd, Sue Monk",,143121707,9.78014E+12,0,4.26,400,2015,2014,,3/26/20,to-read,to-read (#223),to-read
The Glass Hotel,Emily St. John Mandel,"Mandel, Emily St. John",,525521143,9.78053E+12,0,3.69,307,2020,2020,,3/17/20,to-read,to-read (#222),to-read
"Sex Workers, Psychics, and Numbers Runners: Black Women in New York City's Underground Economy (New Black Studies Series)",LaShawn Harris,"Harris, LaShawn",,252040201,9.78025E+12,0,4.23,296,2016,2016,,3/3/20,to-read,to-read (#221),to-read
"Kindness Goes Unpunished (Walt Longmire, #3)",Craig Johnson,"Johnson, Craig",,670031577,9.78067E+12,4,4.22,288,2007,2007,,2/26/20,,,read
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,"Larson, Erik",,,,0,4.3,585,2020,2020,,2/18/20,to-read,to-read (#220),to-read
Fleishman Is in Trouble,Taffy Brodesser-Akner,"Brodesser-Akner, Taffy",,525510885,,0,3.65,380,2019,2019,,2/13/20,to-read,to-read (#219),to-read
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,,,0,4.46,282,1999,1959,,2/12/20,to-read,to-read (#218),to-read
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,"Larson, Erik",,307408841,9.78031E+12,0,3.9,448,2011,2011,,2/12/20,to-read,to-read (#217),to-read
"Gorky Park (Arkady Renko, #1)",Martin Cruz Smith,"Smith, Martin Cruz",,345298349,9.78035E+12,0,4.04,433,1982,1981,,1/23/20,to-read,to-read (#216),to-read
Return To The Reich: A Holocaust Refugee’s Secret Mission to Defeat the Nazis,Eric Lichtblau,"Lichtblau, Eric",,1328528537,9.78133E+12,0,4.35,304,2019,2019,,12/24/19,to-read,to-read (#215),to-read
Felon: Poems,Reginald Dwayne Betts,"Betts, Reginald Dwayne",,393652149,9.78039E+12,0,4.32,95,2019,2019,,12/24/19,to-read,to-read (#214),to-read
Night Boat to Tangier,Kevin Barry,"Barry, Kevin",,385540310,9.78039E+12,0,3.62,255,2019,2019,,12/24/19,to-read,to-read (#213),to-read
A Man Without a Country,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Daniel Simon,081297736X,9.78081E+12,0,4.1,145,2007,2005,,12/24/19,to-read,to-read (#212),to-read
The Overstory,Richard Powers,"Powers, Richard",,039335668X,9.78039E+12,0,4.11,502,2019,2018,,12/19/19,to-read,to-read (#211),to-read
A Thousand Sisters: The Heroic Airwomen of the Soviet Union in World War II,Elizabeth Wein,"Wein, Elizabeth",,62453041,9.78006E+12,0,3.89,400,2019,2019,,12/18/19,to-read,to-read (#210),to-read
Before We Were Yours,Lisa Wingate,"Wingate, Lisa",,425284689,9.78043E+12,0,4.4,342,2017,2017,,12/18/19,to-read,to-read (#209),to-read
Mistress of the Ritz,Melanie Benjamin,"Benjamin, Melanie",,399182241,9.7804E+12,0,3.8,372,2019,2019,,12/18/19,to-read,to-read (#208),to-read
"The Goblin Emperor (The Chronicles of Osreth, #1)",Katherine Addison,"Addison, Katherine",,076532699X,9.78077E+12,0,4.06,446,2014,2014,,12/17/19,to-read,to-read (#207),to-read
"Blind Willow, Sleeping Woman",Haruki Murakami,"Murakami, Haruki","Philip Gabriel, Jay Rubin",1400044618,9.7814E+12,0,3.83,334,2006,2006,,12/17/19,to-read,to-read (#206),to-read
The Immortal Irishman: The Irish Revolutionary Who Became an American Hero,Timothy Egan,"Egan, Timothy",,544272889,9.78054E+12,0,4.3,368,2016,2016,,12/17/19,to-read,to-read (#205),to-read
Side Hustle: From Idea to Income in 27 Days,Chris Guillebeau,"Guillebeau, Chris",,1524758841,9.78152E+12,0,3.69,272,2017,2017,,12/13/19,to-read,to-read (#204),to-read
Principles: Life and Work,Ray Dalio,"Dalio, Ray",Jeremy Bobb,1508243247,9.78151E+12,0,4.1,16,2017,2017,,12/13/19,to-read,to-read (#203),to-read
"Weird Parenting Wins: Bathtub Dining, Family Screams, and Other Hacks from the Parenting Trenches",Hillary Frank,"Frank, Hillary",,143132555,9.78014E+12,0,3.58,256,2019,2019,,12/12/19,to-read,to-read (#202),to-read
The Five: The Untold Lives of the Women Killed by Jack the Ripper,Hallie Rubenhold,"Rubenhold, Hallie",,,,0,4.09,352,2019,2019,,12/11/19,to-read,to-read (#201),to-read
Recursion,Blake Crouch,"Crouch, Blake",,1524759783,9.78152E+12,0,4.17,329,2019,2019,,12/11/19,to-read,to-read (#200),to-read
"SAS Survival Handbook: How to Survive in the Wild, in Any Climate, on Land or at Sea",John  Wiseman,"Wiseman, John",,60578793,9.78006E+12,0,4.25,576,2004,1986,,11/27/19,to-read,to-read (#199),to-read
American Spy,Lauren Wilkinson,"Wilkinson, Lauren",,812998952,9.78081E+12,0,3.49,292,2019,2019,,11/20/19,to-read,to-read (#198),to-read
"Patriot Games (Jack Ryan, #1)",Tom Clancy,"Clancy, Tom",,425134350,9.78043E+12,0,4.17,794,1992,1987,,11/6/19,to-read,to-read (#197),to-read
The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,385539304,9.78039E+12,0,4.31,450,2019,2019,,11/6/19,to-read,to-read (#196),to-read
The Miraculous Journey of Edward Tulane,Kate DiCamillo,"DiCamillo, Kate",Bagram Ibatoulline,763625892,9.78076E+12,0,4.39,228,2006,2006,,10/26/19,to-read,to-read (#195),to-read
Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal",393970124,9.78039E+12,3,4.02,488,1986,1897,,10/22/19,,,read
Just Show Up: And Other Enduring Values from Baseball's Iron Man,Cal Ripken Jr.,"Jr., Cal Ripken",,1982656913,9.78198E+12,0,3.7,,2019,2019,,10/21/19,to-read,to-read (#194),to-read
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,385521316,9.78039E+12,0,4.47,441,2019,2018,,10/16/19,to-read,to-read (#193),to-read
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,006287067X,9.78006E+12,0,4.32,272,2018,2018,,10/15/19,to-read,to-read (#192),to-read
The Great War: Stories Inspired by Items from the First World War,David Almond,"Almond, David","Jim Kay, Ursula Dubrovsky, Timothée de Fombelle, Michael Morpurgo, John Boyne, A.L. Kennedy, Marcus Sedgwick, Adèle Geras, Tracy Chevalier, Frank Cottrell Boyce, Sheena Wilkinson",763675547,9.78076E+12,0,3.67,304,2015,2014,,10/11/19,to-read,to-read (#191),to-read
The Sisters Brothers,Patrick deWitt,"deWitt, Patrick",,62041266,9.78006E+12,5,3.85,328,2011,2011,,11/13/15,,,read
"The Passage (The Passage, #1)",Justin Cronin,"Cronin, Justin",,345504968,9.78035E+12,0,4.05,773,2010,2010,,10/1/19,to-read,to-read (#190),to-read
Lost Boy: The True Story of Captain Hook,Christina Henry,"Henry, Christina",,399584021,9.7804E+12,0,4.2,292,2017,2017,,10/1/19,to-read,to-read (#189),to-read
The Haunting of Ashburn House,Darcy Coates,"Coates, Darcy",,994630603,9.78099E+12,0,3.82,342,2016,2016,,10/1/19,to-read,to-read (#188),to-read
The Porpoise,Mark Haddon,"Haddon, Mark",,1784742821,9.78178E+12,0,3.36,336,2019,2019,,9/22/19,to-read,to-read (#187),to-read
The Last Train to London,Meg Waite Clayton,"Clayton, Meg Waite",,006294696X,9.78006E+12,0,4.12,480,2019,2019,,9/16/19,to-read,to-read (#186),to-read
"Out of Darkness, Shining Light",Petina Gappah,"Gappah, Petina",,1982110333,9.78198E+12,0,3.43,303,2019,2019,,9/10/19,to-read,to-read (#185),to-read
Through the Woods,E.M. Carroll,"Carroll, E.M.",,1442465956,9.78144E+12,0,3.94,208,2014,2014,,9/4/19,to-read,to-read (#184),to-read
The World That We Knew,Alice Hoffman,"Hoffman, Alice",,1501137573,9.7815E+12,0,4.19,372,2019,2019,,9/4/19,to-read,to-read (#183),to-read
Citizen Soldiers: The US Army from the Normandy Beaches to the Bulge to the Surrender of Germany,Stephen E. Ambrose,"Ambrose, Stephen E.",,684848015,9.78068E+12,0,4.25,528,1998,1997,,8/31/19,to-read,to-read (#182),to-read
Allies,Alan Gratz,"Gratz, Alan",,1338245724,9.78134E+12,0,4.27,325,2019,2019,,8/31/19,to-read,to-read (#181),to-read
Remote: Office Not Required,David Heinemeier Hansson,"Hansson, David Heinemeier","Jason Fried, Rebecca Lowman",804148996,9.7808E+12,0,3.8,256,2013,2013,,8/26/19,to-read,to-read (#180),to-read
Norse Mythology,Neil Gaiman,"Gaiman, Neil",,039360909X,9.78039E+12,4,4.1,299,2017,2017,,12/25/17,,,read
Nancy Drew: The Palace of Wisdom,Kelly Thompson,"Thompson, Kelly",Jenn St. Onge,,,0,3.82,128,2019,2019,,8/20/19,to-read,to-read (#179),to-read
My Thoughts Exactly,Allen Lily,"Lily, Allen",,1911600923,9.78191E+12,0,3.97,381,2018,2018,,8/13/19,to-read,to-read (#178),to-read
The Witches Are Coming,Lindy West,"West, Lindy",,316449881,9.78032E+12,0,4.09,260,2019,2019,,8/6/19,to-read,to-read (#177),to-read
American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,Maureen Callahan,"Callahan, Maureen",,052542864X,9.78053E+12,0,4.08,285,2019,2019,,8/6/19,to-read,to-read (#176),to-read
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,"Purnell, Sonia",,073522529X,9.78074E+12,0,4.15,352,2019,2019,,8/6/19,to-read,to-read (#175),to-read
Mama's Last Hug: Animal Emotions and What They Tell Us about Ourselves,Frans de Waal,"Waal, Frans de",,393635066,9.78039E+12,0,4.21,336,2019,2019,,8/6/19,to-read,to-read (#174),to-read
The Heartbeat of Wounded Knee: Native America from 1890 to the Present,David Treuer,"Treuer, David",,1594633150,9.78159E+12,0,4.23,512,2019,2019,,8/6/19,to-read,to-read (#173),to-read
The Sound of Gravel,Ruth Wariner,"Wariner, Ruth",,1250077699,9.78125E+12,0,4.31,336,2016,2016,,7/20/19,to-read,to-read (#172),to-read
The Wisdom of Wolves: Lessons From the Sawtooth Pack,Jim Dutcher,"Dutcher, Jim",,1426218869,9.78143E+12,0,4.2,224,2018,2018,,7/20/19,to-read,to-read (#171),to-read
All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,1476746583,9.78148E+12,5,4.31,531,2014,2014,,12/2/14,,,read
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,385534248,9.78039E+12,3,4.14,338,2017,2017,,12/25/17,,,read
"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,"Wein, Elizabeth",,1405258217,9.78141E+12,0,4,452,2012,2012,,2/26/19,to-read,to-read (#170),to-read
Shining Through,Susan Isaacs,"Isaacs, Susan",,60159790,9.78006E+12,0,3.96,402,1988,1988,,2/19/19,to-read,to-read (#168),to-read
Hero Found: The Greatest POW Escape of the Vietnam War,Bruce   Henderson,"Henderson, Bruce",,61571369,9.78006E+12,0,4.33,320,2010,2010,,2/17/19,to-read,to-read (#167),to-read
Fort Yukon Trader,C. Masten Beaver,"Beaver, C. Masten",,,,3,3,185,1955,,,1/9/19,,,read
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"Atwood, Margaret",,1784742325,9.78178E+12,0,4.2,419,2019,2019,,1/4/19,to-read,to-read (#166),to-read
The Starless Sea,Erin Morgenstern,"Morgenstern, Erin",,1910701459,9.78191E+12,0,3.84,498,2019,2019,,1/4/19,to-read,to-read (#165),to-read
It,Stephen  King,"King, Stephen",,,,0,4.24,1090,2002,1986,,8/20/14,,,read
Little Children,Tom Perrotta,"Perrotta, Tom",,312315732,9.78031E+12,0,3.64,355,2005,2004,,8/8/18,to-read,to-read (#164),to-read
The Old Willis Place,Mary Downing Hahn,"Hahn, Mary Downing",,618430180,9.78062E+12,0,4.14,199,2004,2004,,6/17/18,to-read,to-read (#163),to-read
"Nightmares! (Nightmares!, #1)",Jason Segel,"Segel, Jason","Kirsten Miller, Karl Kwasny",385744250,9.78039E+12,4,3.89,368,2014,2014,,6/17/18,,,read
The Duke of Deception: Memories of My Father,Geoffrey Wolff,"Wolff, Geoffrey",,679727523,9.78068E+12,0,3.87,275,1990,1979,,4/7/18,to-read,to-read (#162),to-read
The Great Alone,Kristin Hannah,"Hannah, Kristin",,,,0,4.46,435,2018,2018,,1/24/18,to-read,to-read (#161),to-read
"Paper Girls, Volume 2",Brian K. Vaughan,"Vaughan, Brian K.","Cliff Chiang, Matt Wilson, Jared K. Fletcher",1632158957,9.78163E+12,0,4.1,128,2016,2016,,12/25/17,to-read,to-read (#160),to-read
Half Baked Harvest Cookbook: Recipes from My Barn in the Mountains,Tieghan Gerard,"Gerard, Tieghan",,553496395,9.78055E+12,0,4.27,304,2017,2017,,12/25/17,to-read,to-read (#159),to-read
Grant,Ron Chernow,"Chernow, Ron",,159420487X,9.78159E+12,0,4.5,1074,2017,2017,,12/25/17,to-read,to-read (#158),to-read
You Don't Have to Say You Love Me,Sherman Alexie,"Alexie, Sherman",,031627075X,9.78032E+12,0,4.14,457,2017,2017,,12/25/17,to-read,to-read (#157),to-read
"What the Hell Did I Just Read: A Novel of Cosmic Horror (John Dies at the End, #3)",David  Wong,"Wong, David",Jason Pargin,1250040205,9.78125E+12,0,4.18,375,2017,2017,,12/25/17,to-read,to-read (#156),to-read
Sleeping Beauties,Stephen  King,"King, Stephen",Owen King,150116340X,9.7815E+12,0,3.73,702,2017,2017,,12/25/17,to-read,to-read (#155),to-read
"Sleeping Giants (Themis Files, #1)",Sylvain Neuvel,"Neuvel, Sylvain",,1101886692,9.7811E+12,0,3.82,320,2016,2016,,12/25/17,to-read,to-read (#154),to-read
The Mortal Storm,Phyllis Bottome,"Bottome, Phyllis","Phyllis Lassner, Marilyn Hoder-Salmon",810114712,9.78081E+12,0,4.25,357,1998,1941,,12/17/17,to-read,to-read (#153),to-read
"Authority (Southern Reach, #2)",Jeff Vandermeer,"Vandermeer, Jeff",,374104107,9.78037E+12,0,3.55,368,2014,2014,,12/12/17,to-read,to-read (#152),to-read
"Ranger Games: A Story of Soldiers, Family and an Inexplicable Crime",Ben Blum,"Blum, Ben",,804166072,9.7808E+12,0,3.65,,2017,2017,,11/9/17,to-read,to-read (#151),to-read
30 Days of Night,Steve Niles,"Niles, Steve","Ben Templesmith, Robbie Robbins",971977550,9.78097E+12,3,3.78,104,2002,2004,,8/11/11,,,read
The BFG,Roald Dahl,"Dahl, Roald",Quentin Blake,141311371,9.78014E+12,0,4.23,199,2001,1982,,7/14/09,,,read
October Dreams: A Celebration of Halloween,Richard  Chizmar,"Chizmar, Richard","Robert Morrish, Dean Koontz, Dominick Cancilla, Douglas E. Winter, F. Paul Wilson, Gahan Wilson, Gary A. Braunbeck, Jack Ketchum, John Shirley, Lewis Shiner, Michael Marshall Smith, Paula Guran, Peter Straub, Poppy Z. Brite, Ramsey Campbell, Ray Bradbury, Richard Laymon, Simon Clark, Stephen Mark Rainey, Thomas F. Monteleone, Thomas Ligotti, Tim Lebbon, William F. Nolan, Caitlín R. Kiernan, Charles L. Grant, David B. Silva",451458958,9.78045E+12,0,4,648,2002,2000,,10/14/17,to-read,to-read (#150),to-read
"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine who Outwitted America's Enemies",Jason Fagone,"Fagone, Jason",,62430483,9.78006E+12,0,4.09,444,2017,2017,,10/12/17,to-read,to-read (#149),to-read
The Season of Passage,Christopher Pike,"Pike, Christopher",,812510488,9.78081E+12,0,4.15,438,1993,1992,,10/10/17,to-read,to-read (#148),to-read
The Legend of Decimus Croome: A Halloween Carol,Kevin  Purdy,"Purdy, Kevin",,,,0,4.14,192,2016,2016,,10/10/17,to-read,to-read (#147),to-read
Manhattan Beach,Jennifer Egan,"Egan, Jennifer",,1476716730,9.78148E+12,0,3.61,438,2017,2017,,10/3/17,to-read,to-read (#146),to-read
"Dynasty of Evil (Star Wars: Darth Bane, #3)",Drew Karpyshyn,"Karpyshyn, Drew",,345511565,9.78035E+12,4,4.32,296,2009,2009,,6/6/16,,,read
The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,965818675,9.78097E+12,0,4,537,2003,2003,,8/28/17,to-read,to-read (#145),to-read
The Polysyllabic Spree,Nick Hornby,"Hornby, Nick",,1932416242,9.78193E+12,0,3.73,143,2004,2004,,8/28/17,to-read,to-read (#144),to-read
The Writer and the Witch,Robin Sloan,"Sloan, Robin",,,,0,4.08,23,2009,2009,,8/28/17,to-read,to-read (#143),to-read
"Ajax Penumbra 1969 (Mr. Penumbra's 24-Hour Bookstore, #0.5)",Robin Sloan,"Sloan, Robin",,,,0,3.77,65,2013,2012,,8/28/17,to-read,to-read (#142),to-read
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,,,0,4.18,297,2000,1968,,6/5/17,to-read,to-read (#141),to-read
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,"Sagan, Carl",,345376595,9.78035E+12,0,4.34,384,1997,1994,,4/20/17,to-read,to-read (#140),to-read
"Holes (Holes, #1)",Louis Sachar,"Sachar, Louis",,439244196,9.78044E+12,4,4.01,272,2000,1998,,6/3/09,,,read
"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,"Robinson, Kim Stanley",,553560735,9.78055E+12,0,3.86,572,1993,1992,,3/30/17,to-read,to-read (#139),to-read
Double Indemnity,James M. Cain,"Cain, James M.",,679723226,9.78068E+12,4,4.06,115,1989,1936,,9/21/11,,,read
"Rule of Two (Star Wars: Darth Bane, #2)",Drew Karpyshyn,"Karpyshyn, Drew",,345477480,9.78035E+12,3,4.24,318,2007,2007,,6/6/16,,,read
Run Fast: How to Train for a Five-K or 10-K Race,Hal Higdon,"Higdon, Hal",,875961037,9.78088E+12,4,3.78,224,1992,1992,,11/4/16,,,read
"The Boy Who Followed Ripley (Ripley, #4)",Patricia Highsmith,"Highsmith, Patricia",,039333211X,9.78039E+12,2,3.64,348,2008,1980,,9/12/16,,,read
Bloodline (Star Wars),Claudia Gray,"Gray, Claudia",January LaVoy,451486080,9.78045E+12,0,4.07,13,2016,2016,,10/3/16,to-read,to-read (#138),to-read
The Third Man,Graham Greene,"Greene, Graham",,140286829,9.78014E+12,3,3.78,157,1999,1950,,9/12/16,,,read
"Path of Destruction (Star Wars: Darth Bane, #1)",Drew Karpyshyn,"Karpyshyn, Drew",,345477367,9.78035E+12,4,4.35,324,2006,2006,,6/6/16,,,read
Real Food: What to Eat and Why,Nina Planck,"Planck, Nina",Nina Teicholz,1596911441,9.7816E+12,0,4.04,288,2006,2006,,9/29/16,to-read,to-read (#137),to-read
The Canning Season,Polly Horvath,"Horvath, Polly",,374399565,9.78037E+12,0,3.86,208,2003,2003,,9/21/16,to-read,to-read (#136),to-read
Women Crime Writers: Four Suspense Novels of the 1940s:  Laura / The Horizontal Man / In a Lonely Place / The Blank Wall (Library of America Women Crime Writers Collection),Sarah Weinman,"Weinman, Sarah","Vera Caspary, Helen Eustis, Dorothy B. Hughes, Elisabeth Sanxay Holding",1598534300,9.7816E+12,0,4.16,848,2015,2015,,9/15/16,to-read,to-read (#135),to-read
"Made to Kill (Ray Electromatic Mysteries, #1)",Adam Christopher,"Christopher, Adam",,076537918X,9.78077E+12,0,3.37,237,2015,2015,,9/15/16,to-read,to-read (#134),to-read
A Monster Calls,Patrick Ness,"Ness, Patrick","Jim Kay, Siobhan Dowd",1406311529,9.78141E+12,3,4.35,226,2011,2011,,9/13/16,,,read
Rocket Boys (Coalwood #1),Homer Hickam,"Hickam, Homer",,385333218,9.78039E+12,0,4.2,368,2000,1998,,9/5/16,to-read,to-read (#133),to-read
"The Infernals (Samuel Johnson, #2)",John Connolly,"Connolly, John",,145164308X,9.78145E+12,0,3.9,309,2011,2011,,9/2/16,to-read,to-read (#132),to-read
Rebecca,Daphne du Maurier,"Maurier, Daphne du",,316323705,9.78032E+12,0,4.25,449,2013,1938,,8/31/16,to-read,to-read (#131),to-read
Girl in a Band,Kim  Gordon,"Gordon, Kim",,62295896,9.78006E+12,3,3.67,273,2015,2015,,8/5/16,,,read
The Billion Dollar Spy: A True Story of Cold War Espionage and Betrayal,David E. Hoffman,"Hoffman, David E.",,385537603,9.78039E+12,2,4.24,336,2015,2015,,12/1/15,,,read
Darth Plagueis (Star Wars),James Luceno,"Luceno, James",,034551128X,9.78035E+12,0,4.19,379,2012,2012,,6/6/16,to-read,to-read (#130),to-read
Lost Stars (Star Wars),Claudia Gray,"Gray, Claudia",,1484724984,9.78148E+12,0,4.29,551,2015,2015,,6/6/16,to-read,to-read (#129),to-read
Billy Lynn's Long Halftime Walk,Ben Fountain,"Fountain, Ben",,60885599,9.78006E+12,4,3.79,307,2012,2012,,11/23/13,,,read
Born Standing Up: A Comic's Life,Steve  Martin,"Martin, Steve",,1416553649,9.78142E+12,3,3.88,207,2007,2007,,4/25/16,,,read
"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,385528701,9.78039E+12,0,4.02,531,2009,2008,,3/4/16,to-read,to-read (#128),to-read
"The Girl in the Spider's Web (Millennium, #4)",David Lagercrantz,"Lagercrantz, David",,385354282,9.78039E+12,3,3.81,400,2015,2015,,1/31/16,,,read
Witches of America,Alex  Mar,"Mar, Alex",,374291373,9.78037E+12,0,3.25,288,2015,2015,,12/21/15,to-read,to-read (#127),to-read
The Heart Goes Last,Margaret Atwood,"Atwood, Margaret",,385540353,9.78039E+12,0,3.4,320,2015,2015,,11/17/15,to-read,to-read (#126),to-read
"Futuristic Violence and Fancy Suits (Zoey Ashe, #1)",David  Wong,"Wong, David",Jason Pargin,1250040191,9.78125E+12,0,3.98,384,2015,2015,,9/30/15,to-read,to-read (#125),to-read
"Riders of the Purple Sage (Riders of the Purple Sage, #1)",Zane Grey,"Grey, Zane",,812966120,9.78081E+12,0,3.75,320,2002,1912,,9/17/15,to-read,to-read (#124),to-read
Ghost Story,Peter Straub,"Straub, Peter",,671685635,9.78067E+12,4,3.92,567,1989,1979,,8/24/15,,,read
The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,"Millard, Candice",,767913736,9.78077E+12,0,4.21,416,2006,2005,,8/5/15,to-read,to-read (#123),to-read
In the Unlikely Event,Judy Blume,"Blume, Judy",,1101875046,9.7811E+12,3,3.57,402,2015,2015,,7/16/15,,,read
The Magic of Reality: How We Know What's Really True,Richard Dawkins,"Dawkins, Richard",Dave McKean,1439192812,9.78144E+12,0,4.05,271,2011,2011,,5/29/15,to-read,to-read (#122),to-read
The Secret Life of Houdini: The Making of America's First Superhero,William Kalush,"Kalush, William",Larry Sloman,743272072,9.78074E+12,0,3.86,608,2006,2006,,5/29/15,to-read,to-read (#121),to-read
Flotsam,David Wiesner,"Wiesner, David",,618194576,9.78062E+12,5,4.24,40,2006,2006,,4/23/15,,,read
The Lion and the Mouse,Jerry Pinkney,"Pinkney, Jerry",,316013560,9.78032E+12,0,4.23,40,2009,2009,,4/23/15,to-read,to-read (#120),to-read
Men Without Women,Ernest Hemingway,"Hemingway, Ernest",,,,0,3.58,153,2004,1927,,4/23/15,tried-and-gave-up-on,tried-and-gave-up-on (#1),read
My Uncle Oswald,Roald Dahl,"Dahl, Roald",,140055770,9.78014E+12,3,3.83,204,1986,1979,,4/12/15,,,read
"Daniel Silva Gabriel Allon Novels 1-4 (Gabriel Allon, #1-4)",Daniel Silva,"Silva, Daniel",,1101538856,9.7811E+12,0,4.62,0,2011,2011,,3/24/15,to-read,to-read (#119),to-read
"The High Window (Philip Marlowe, #3)",Raymond Chandler,"Chandler, Raymond",,394758269,9.78039E+12,3,4.04,272,1992,1942,,3/16/15,,,read
The Art of Fielding,Chad Harbach,"Harbach, Chad",,316126691,9.78032E+12,5,3.99,512,2011,2011,,2/22/15,,,read
A Tree Grows in Brooklyn,Betty  Smith,"Smith, Betty",,61120073,9.78006E+12,5,4.3,496,2006,1943,,2/12/15,,,read
Shopgirl,Steve  Martin,"Martin, Steve",,786891076,9.78079E+12,4,3.42,130,2000,2000,,2/12/15,,,read
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,670069019,9.78067E+12,4,4.18,480,2008,2005,,1/21/15,,,read
"Sand (The Sand Chronicles, #1)",Hugh Howey,"Howey, Hugh",,,,0,3.96,336,2014,2014,,12/2/14,to-read,to-read (#118),to-read
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,385352107,9.78039E+12,0,3.87,386,2014,2013,,12/2/14,to-read,to-read (#117),to-read
The Bone Clocks,David  Mitchell,"Mitchell, David",,1400065674,9.7814E+12,0,3.85,624,2014,2014,,12/2/14,to-read,to-read (#116),to-read
The Storied Life of A.J. Fikry,Gabrielle Zevin,"Zevin, Gabrielle",,1616203218,9.78162E+12,0,4.04,260,2014,2014,,12/2/14,to-read,to-read (#115),to-read
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,"Larsson, Stieg",Reg Keeland,307269981,9.78031E+12,4,4.26,503,2009,2006,,9/20/14,,,read
"This Book Is Full of Spiders (John Dies at the End, #2)",David  Wong,"Wong, David",Jason Pargin,312546343,9.78031E+12,4,4.26,406,2012,2012,,9/25/12,,,read
Someone Could Get Hurt: A Memoir of Twenty-First-Century Parenthood,Drew Magary,"Magary, Drew",,159240832X,9.78159E+12,3,3.9,245,2013,2013,,5/2/13,,,read
Robot Uprisings,Daniel H. Wilson,"Wilson, Daniel H.",John Joseph Adams,345803639,9.78035E+12,4,3.86,496,2014,2014,,6/2/14,,,read
"The Hedge Knight (The Tales of Dunk and Egg, #1)",George R.R. Martin,"Martin, George R.R.",,,,0,4.29,85,2005,1998,,1/13/11,to-read,to-read (#36),to-read
The Book Thief,Markus Zusak,"Zusak, Markus",,,,5,4.39,592,2006,2005,,11/25/13,,,read
Slow Getting Up: A Story of NFL Survival from the Bottom of the Pile,Nate Jackson,"Jackson, Nate",,62108026,9.78006E+12,4,3.87,243,2013,2013,,12/5/13,,,read
"Doctor Sleep (The Shining, #2)",Stephen  King,"King, Stephen",,1476727651,9.78148E+12,0,4.13,531,2013,2013,,12/3/13,to-read,to-read (#114),to-read
Vader's Little Princess,Jeffrey   Brown,"Brown, Jeffrey",,1452118698,9.78145E+12,0,4.08,64,2013,2013,,12/3/13,to-read,to-read (#113),to-read
Jim Henson: The Biography,Brian Jay Jones,"Jones, Brian Jay",,345526112,9.78035E+12,0,4.03,585,2013,2013,,12/3/13,to-read,to-read (#112),to-read
